z_nm,pos_with_ramp_mV,pos_no_ramp_mV,neg_with_ramp_mV,neg_no_ramp_mV,membrane_mV,fmp_z_with_ramp
-21.871299999999998,9.321171349519618,-35.44089353755637,-71.98016128127757,-27.218096394201687,-31.32949496587903,0.9520479981341267
-21.675145,8.064566247412488,-36.296045464135524,-71.12462444772466,-26.764012736176568,-31.530029100156046,0.9403041619275769
-21.47899,8.298283290051149,-35.66087524596898,-71.05424172080785,-27.09508318478773,-31.377979215378353,0.9412123260136946
-21.282835,9.933862571598553,-33.62384278889358,-71.7952503684289,-28.237545007936806,-30.930693898415196,0.9544265228909959
-21.086679999999998,11.98264845276829,-31.17360373219589,-72.93506376819671,-29.778811583232635,-30.476207657714262,0.972155628616056
-20.890525,13.828626149293488,-28.926172860142774,-74.22574233865697,-31.470943329220674,-30.198558094681722,0.9895959231406815
-20.69437,16.061750247421678,-26.291595586486615,-75.33801009132539,-32.98466425741707,-29.63812992195184,1.008196819831937
-20.498215,19.16402303035507,-22.787869628025327,-75.8211524431488,-33.86925978476849,-28.328564706396907,1.0281322831472424
-20.30206,22.188365357348324,-19.362074125504083,-75.46615289477322,-33.91571341192092,-26.6388937687125,1.0429742423176727
-20.105905,23.97454712234725,-17.174439184977263,-74.2891053514326,-33.14011904410815,-25.157279114542707,1.0463611229084977
-19.90975,24.29853408020573,-16.448999051590746,-72.61108365077774,-31.863550518981203,-24.156274785285973,1.0388324800796678
-19.713594999999998,23.622887379565157,-16.723192576703394,-71.30976400565861,-30.963684049390082,-23.843438313046736,1.027840241083568
-19.51744,22.563730084488352,-17.38089669625225,-71.13073827968522,-31.186111498944523,-24.283504097598385,1.0209557517661416
-19.321285,21.43114986713647,-18.112023738076225,-72.33132196317317,-32.788148357960466,-25.450086048018342,1.0213338615675205
-19.12513,20.72589360591074,-18.415826823773997,-74.6469807653017,-35.5052603356169,-26.96054357969545,1.030287949049838
-18.928975,21.459612436932694,-17.280654817224065,-76.91829410505188,-38.17802685089512,-27.729340834059595,1.0469963932188286
-18.732819999999997,23.602194651810827,-14.736619426818004,-78.05808687629566,-39.71927279766692,-27.22794611224246,1.0652469063849557
-18.536665,25.51873790941639,-12.418622993684481,-78.04994345024157,-40.112582547140605,-26.265602770412542,1.0758579049452113
